Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A83,11313365696817038,12/1/20,20024605,L,4,A83,32.29,30.67,4.84,15.84,9.99,9.99,,,
A84,11322671181569852,12/1/20,20003130,Q,1,A84,10.78,9.73,1.62,1.74,8.98,6.37,,,
A85,11106286563793062,12/1/20,20024631,L,1,A85,32.21,31.31,4.83,21.73,4.75,4.75,,,
A86,11207378899753007,12/1/20,20003130,Q,1,A86,98.94,68.21,14.84,46.54,8.98,6.83,,,
A87,11394860814319411,12/1/20,20024606,L,2,A87,30.22,24.54,4.53,14.26,5.75,5.75,,,
A88,11220421373731442,12/1/20,20003130,Q,1,A88,98.94,67.75,14.84,46.54,8.51,6.37,,,
A89,11168204232705842,12/1/20,20003128,Q,1,A89,98.49,67.68,14.77,46.54,8.98,6.37,,,
A90,11390200050701806,12/1/20,20003132,Q,2,A90,23.72,97.83,1.9,87.72,8.98,8.21,,,
A91,11219553824571401,12/1/20,20024614,H,2,A91,36.52,30.11,5.48,18.38,4.75,4.75,,,
A92,11467182062996212,12/1/20,20003132,Q,1,A92,98.94,67.75,14.84,46.54,8.51,6.37,,,
A93,11312247117305028,12/1/20,20024616,L,3,A93,26.12,23.44,3.92,13.77,5.75,5.75,,,
A94,11366194263814615,12/1/20,20003130,O,1,A94,30.88,36.08,4.63,22.47,8.98,8.98,,,
A95,11115407536297061,12/1/20,20024613,L,6,A95,29.75,28.88,4.46,17.43,6.99,6.99,,,
A96,11287901802265803,12/1/20,20003131,O,1,A96,39.45,86.32,5.92,68.1,12.3,12.3,,,
A97,11165309627558624,12/1/20,20024615,C,1,A97,29.3,28.44,4.4,12.06,11.98,11.98,,,
A98,11160308196047443,12/1/20,20003132,Q,1,A98,49.99,38.37,7.5,24.5,8.51,6.37,,,
A99,11447780557466648,12/1/20,20024617,L,6,A99,17.35,17.38,2.6,7.79,6.99,6.99,,,
A100,11242197408164235,12/1/20,20024618,L,1,A100,21.72,22.17,3.26,11.41,7.5,7.5,,,
A101,11462318168137867,12/1/20,20024619,L,2,A101,32.08,32.72,4.81,20.92,6.99,6.99,,,
A102,11301432911074667,12/1/20,20024604,L,6,A102,25.48,24.89,3.82,13.57,7.5,7.5,,,
A103,11242321637189844,12/1/20,20024621,L,1,A103,18.9,18.04,2.84,10.45,4.75,4.75,,,
A104,11347079034308238,12/1/20,20024620,L,12,A104,29.5,29.71,4.43,18.29,6.99,6.99,,,
A105,11386699147877817,12/1/20,20024622,L,3,A105,24.95,25.33,3.74,14.6,6.99,6.99,,,
A106,11392897496535420,12/1/20,20003131,O,2,A106,51.76,40.24,7.76,23.5,8.98,8.98,,,
A107,11356366838853836,12/1/20,20024608,I,2,A107,28.16,22.64,4.22,11.98,4.66,4.44,,,
A108,11144985333568213,12/1/20,20003133,Q,1,A108,98.94,67.75,14.84,46.54,8.98,6.37,,,
A109,11192207039325816,12/1/20,0014-11-,G,1,A109,139.8,142.51,11.18,119.83,11.5,11.5,,,
A110,11138297485237866,12/1/20,20024623,L,3,A110,54.61,50.74,8.19,32.56,9.99,9.99,,,
A111,11305113955229053,12/1/20,20024624,L,12,A111,67.87,57.91,10.18,37.74,9.99,9.99,,,
A112,11172553652977867,12/1/20,20024625,L,2,A112,17.78,13.49,1.42,6.32,5.75,5.75,,,
A113,11176646048866619,12/1/20,20024626,L,12,A113,24.85,24.15,3.73,13.43,6.99,6.99,,,
A114,11461034323064244,12/1/20,20003133,Q,1,A114,19.75,17.17,2.96,6,8.98,8.21,,,
A115,11257718902074666,12/1/20,20024609,I,1,A115,217.7,204.93,17.42,152.99,32.52,32.52,,,
A116,11342161862128236,12/1/20,20024628,L,4,A116,13.55,12.87,1.08,4.8,6.99,6.99,,,
A117,11101879598874630,12/1/20,20003131,Q,1,A117,26.77,19.14,4.02,8.75,8.98,6.37,,,
A118,11405723044928261,12/1/20,20024627,L,6,A118,44.28,39.72,6.64,23.09,9.99,9.99,,,
A119,11211258146844236,12/1/20,20003134,Q,1,A119,98.94,67.75,14.84,46.54,8.98,6.37,,,
A120,11497079516922659,12/1/20,20003134,Q,1,A120,98.49,69.25,14.77,46.54,8.98,7.94,,,
A121,11296868162900216,12/1/20,20024629,L,12,A121,29.5,29.71,4.43,18.29,6.99,6.99,,,
