Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A99,11344200293916243,1/1/21,20036133,L,12,A99,71.96,73.26,10.79,52.97,9.5,9.5,,,
A100,11122023429443452,1/1/21,20036132,L,1,A100,22.56,23.01,3.38,13.88,5.75,5.75,,,
A101,11330484431081027,1/1/21,20036131,L,12,A101,37.49,36.07,5.62,21.7,8.75,8.75,,,
A102,11470349741751413,1/1/21,20036135,L,6,A102,33.99,33.82,5.1,21.73,6.99,6.99,,,
A103,11195197203782614,1/1/21,20005572,Q,5,A103,12.58,12.84,1.01,2.85,8.98,8.98,,,
A104,11231528668884216,1/1/21,20005571,Q,1,A104,94.49,67.24,14.17,46.54,8.98,6.53,,,
A105,11458209265315454,1/1/21,20036136,L,6,A105,38.77,38.75,5.82,23.43,9.5,9.5,,,
A106,11303940515659448,1/1/21,20036138,L,6,A106,27.65,28.09,4.15,15.95,7.99,7.99,,,
A107,11493897323262631,1/1/21,20036137,K,1,A107,148.93,146.64,18.91,109.74,17.99,17.99,,,
A108,11205591835500256,1/1/21,20005572,P,1,A108,13.56,14.83,2.03,3.82,8.98,8.98,,,
A109,11128517934564200,1/1/21,20036139,L,2,A109,45.73,42.79,6.86,31.18,4.75,4.75,,,
A110,11279744429446640,1/1/21,20036140,L,1,A110,34.47,35.16,5.17,23,6.99,6.99,,,
A111,11330793554605804,1/1/21,20005572,O,1,A111,6.72,13.46,1.01,3.47,8.98,8.98,,,
A112,11307855012902669,1/1/21,20005572,Q,1,A112,9.59,11.29,0.77,4.14,8.81,6.38,,,
A113,11299807726985847,1/1/21,20005572,Q,1,A113,94.49,67.09,14.17,46.54,8.98,6.38,,,
A114,11395101602033819,1/1/21,20036141,L,1,A114,10.84,10.76,1.63,4.38,4.75,4.75,,,
A115,11176195378169813,1/1/21,20005573,Q,1,A115,33.89,31.39,5.08,17.09,8.98,9.22,,,
A116,11270115302493061,1/1/21,20005573,Q,1,A116,58.46,47.23,8.77,31.95,8.98,6.51,,,
A117,11160705808792212,1/1/21,21005612,O,1,A117,11.12,14.48,1.67,3.83,8.98,8.98,,,
A118,11396201997070602,1/1/21,20036142,L,4,A118,42.89,44.58,6.43,31.16,6.99,6.99,,,
A119,11423550456522613,1/1/21,20005573,Q,24,A119,24.57,403.19,3.69,393.12,8.98,6.38,,,
A120,11382221034889013,1/1/21,20005573,Q,2,A120,14.86,16.67,2.23,7.6,8.98,6.84,,,
A121,11327452048734633,1/1/21,20036143,L,1,A121,11.53,11.76,1.73,5.28,4.75,4.75,,,
A122,11404066643472253,1/1/21,20005573,O,1,A122,10.3,13.98,1.55,3.45,8.98,8.98,,,
A123,11176146941096209,1/1/21,20005573,Q,2,A123,22.44,11.07,1.8,5.44,4.49,3.83,,,
A124,11176146941096209,1/1/21,20005573,Q,2,A124,14.91,9.18,1.19,5.44,4.49,2.55,,,
A125,11383269946910663,1/1/21,20005573,Q,1,A125,94.49,67.55,14.17,46.54,8.98,6.84,,,
A126,11151061056078650,1/1/21,21036860,A,1,A126,138.31,134.51,11.06,112,8.5,8.5,,,
A127,11115396146897804,1/1/21,20036146,K,1,A127,2393.96,2415.23,143.64,2259.6,11.99,11.99,,,
A128,11415097499206655,1/1/21,20005573,Q,6,A128,18.7,34.48,2.81,15.48,8.98,16.19,,,
A129,11336797909031429,1/1/21,20005574,Q,1,A129,33.89,28.55,5.08,17.09,8.81,6.38,,,
A130,11383027904309031,1/1/21,20005574,Q,6,A130,52.11,53.15,7.82,36.35,8.98,8.98,,,
A131,11203477281469866,1/1/21,20005574,Q,1,A131,33.89,30.4,5.08,17.09,8.98,8.23,,,
A132,11123305264492220,1/1/21,20005574,Q,1,A132,33.89,29.81,5.08,17.09,8.98,7.64,,,
A133,11267313797121817,1/1/21,20036144,L,1,A133,26.56,26.09,3.98,15.12,6.99,6.99,,,
A134,11173210462723469,1/1/21,20036145,L,3,A134,56.97,56.85,8.55,41.31,6.99,6.99,,,
A135,11475508343469801,1/1/21,20005574,Q,1,A135,10.28,10.11,1.54,2.19,8.38,6.38,,,
A136,11283628269306654,1/1/21,20005574,Q,1,A136,33.89,31.59,5.08,17.09,8.98,9.42,,,
A137,11385631964277048,1/1/21,20005575,Q,1,A137,94.49,67.55,14.17,46.54,8.98,6.84,,,
A138,11290368623689060,1/1/21,20036148,L,1,A138,23.25,22.67,3.49,14.43,4.75,4.75,,,
A139,11328948183839424,1/1/21,20005575,Q,2,A139,67.78,51.98,10.16,34.18,8.98,7.64,,,
