Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A85,11192456707055403,11/8/20,20016086,L,6,A85,16.31,21.62,2.45,12.18,6.99,6.99,,,
A86,11186485769419409,11/23/20,20020955,L,2,A86,19.61,18.89,2.94,10.2,5.75,5.75,,,
A87,11338481048293012,11/6/20,20015458,L,6,A87,16.3,21.62,2.45,12.18,6.99,6.99,,,
A88,11229153639257867,11/30/20,20003102,Q,1,A88,49.99,38.37,7.5,24.5,8.98,6.37,,,
A89,11210723692737033,11/30/20,20003122,Q,1,A89,49.99,40.07,7.5,24.5,8.98,8.07,,,
A90,11486653259485844,11/30/20,20003099,O,2,A90,16.92,20.6,2.54,9.08,8.98,8.98,,,
A91,11199667165325859,11/29/20,20023721,L,2,A91,92.62,74.38,13.9,52.98,7.5,7.5,,,
A92,11364626293265863,11/23/20,20021005,L,12,A92,41.36,41.73,6.2,27.54,7.99,7.99,,,
A93,11373271227353810,11/30/20,20024530,L,12,A93,24.85,24.15,3.73,13.43,6.99,6.99,,,
A94,11133427821069029,11/5/20,20015330,L,6,A94,16.3,21.62,2.45,12.18,6.99,6.99,,,
A95,11296054592941059,11/25/20,20002678,Q,1,A95,9.18,11.4,0.73,2.74,8.38,7.93,,,
A96,11444515963605810,11/21/20,20002555,O,1,A96,15.06,13.43,2.26,2.19,8.98,8.98,,,
A97,11428494446733016,11/29/20,20023741,L,12,A97,24.85,24.15,3.73,13.43,6.99,6.99,,,
A98,11285625048743430,11/29/20,20023737,L,2,A98,92.62,74.38,13.9,52.98,7.5,7.5,,,
A99,11294357646473818,11/8/20,20016206,L,6,A99,16.31,21.62,2.45,12.18,6.99,6.99,,,
A100,11420152925665054,11/22/20,20020389,L,12,A100,22.15,22.48,3.32,12.17,6.99,6.99,,,
A101,11301198178213838,11/8/20,20016123,L,6,A101,16.31,21.62,2.45,12.18,6.99,6.99,,,
A102,11150315678470637,11/22/20,20020682,L,12,A102,22.17,22.49,3.33,12.17,6.99,6.99,,,
A103,11410453221409048,11/28/20,20023080,I,1,A103,115.07,113.21,16.21,81.99,10.89,13.01,,,
A104,11134981038067445,11/27/20,20022490,L,1,A104,12.77,10.75,1.92,4.08,4.75,4.75,,,
A105,11465090565970625,11/29/20,20023527,L,12,A105,24.85,24.15,3.73,13.43,6.99,6.99,,,
A106,11394639930947402,11/29/20,20023704,L,12,A106,24.85,24.15,3.73,13.43,6.99,6.99,,,
A107,11216634083223438,11/7/20,20015953,L,12,A107,59.98,54.96,9,35.97,9.99,9.99,,,
A108,11262924453931410,11/26/20,20021933,L,6,A108,46.34,44.54,6.95,30.6,6.99,6.99,,,
A109,11337484094948243,11/9/20,20016456,L,3,A109,25.76,26.15,3.86,15.3,6.99,6.99,,,
A110,11385269342869004,11/15/20,20017755,L,1,A110,12.86,12.8,1.93,6.12,4.75,4.75,,,
A111,11487760912775461,11/8/20,20016363,L,3,A111,25.76,26.15,3.86,15.3,6.99,6.99,,,
A112,11478667068020260,11/23/20,20021090,L,2,A112,19.61,18.89,2.94,10.2,5.75,5.75,,,
A113,11166832742514615,11/24/20,20021580,L,2,A113,19.61,18.89,2.94,10.2,5.75,5.75,,,
A114,11331925876405811,11/29/20,20023864,L,2,A114,19.61,18.89,2.94,10.2,5.75,5.75,,,
A115,11289470744309034,11/14/20,20017408,L,12,A115,45.78,45.27,6.87,24.41,13.99,13.99,,,
A116,11332713541252258,11/30/20,20003093,Q,1,A116,23.12,15.84,3.47,6,8.38,6.37,,,
A117,11128558544577843,11/30/20,20003090,O,1,A117,47.14,65.07,7.07,49.02,8.98,8.98,,,
A118,11432132397156233,11/30/20,20003088,Q,1,A118,23.12,17.41,3.47,6,8.14,7.94,,,
A119,11461978390596210,11/28/20,20023427,L,4,A119,17.61,16.02,2.11,8.16,5.75,5.75,,,
A120,11250920893308219,11/7/20,20015766,L,6,A120,16.31,21.62,2.45,12.18,6.99,6.99,,,
A121,11302521418717006,11/17/20,20018662,L,12,A121,41.36,41.73,6.2,27.54,7.99,7.99,,,
A122,11138765996464228,11/28/20,20023374,L,12,A122,24.85,24.15,3.73,13.43,6.99,6.99,,,
A123,11143063577421028,11/30/20,20024287,L,12,A123,24.85,24.15,3.73,13.43,6.99,6.99,,,
A124,11188516570137817,11/29/20,20023536,L,12,A124,24.85,24.15,3.73,13.43,6.99,6.99,,,
A125,11246672232291404,11/20/20,20019602,L,4,A125,27.15,24.38,4.07,13.32,6.99,6.99,,,
A126,11357133902565858,11/15/20,20017919,L,12,A126,41.36,41.73,6.2,27.54,7.99,7.99,,,
A127,11175780403441869,11/20/20,20019702,L,4,A127,27.15,24.38,4.07,13.32,6.99,6.99,,,
A128,11488710858993066,11/27/20,20022763,L,4,A128,27.26,27.68,4.09,15.6,7.99,7.99,,,
A129,11444183039876202,11/23/20,20020952,L,4,A129,27.83,24.48,4.17,13.32,6.99,6.99,,,
A130,11301159165504275,11/23/20,20021036,L,3,A130,23.66,20.99,3.55,9.45,7.99,7.99,,,
A131,11370605134649012,11/5/20,20015215,L,12,A131,60.3,61.03,9.05,42.48,9.5,9.5,,,
A132,11188060265258636,11/22/20,20020366,L,4,A132,27.15,24.38,4.07,13.32,6.99,6.99,,,
A133,11375801435464248,11/22/20,20020426,L,4,A133,27.16,24.38,4.07,13.32,6.99,6.99,,,
A134,11496926684290657,11/8/20,20016383,L,6,A134,33.3,33.67,5,21.68,6.99,6.99,,,
A135,11220481921011469,11/22/20,20020543,L,4,A135,27.83,24.48,4.17,13.32,6.99,6.99,,,
A136,11298258932706626,11/23/20,20020891,L,4,A136,27.83,24.48,4.17,13.32,6.99,6.99,,,
A137,11298851966577019,11/29/20,20002976,N,1,A137,60.32,44.72,9.05,35.67,0,0,,,
A138,11499623761766650,11/25/20,20021717,L,1,A138,50.46,47.99,7.57,35.67,4.75,4.75,,,
A139,11482688429927454,11/17/20,20018689,L,1,A139,50.11,47.94,7.52,35.67,4.75,4.75,,,
A140,11455680294713829,11/15/20,20018080,L,1,A140,59.49,49.34,8.92,35.67,4.75,4.75,,,
A141,11153088412596262,11/21/20,20020224,L,1,A141,32.42,29.96,4.86,19.35,5.75,5.75,,,
A142,11137687404673068,11/27/20,20022767,L,1,A142,51.14,48.09,7.67,35.67,4.75,4.75,,,
A143,11395183004942669,11/29/20,20023709,L,2,A143,81.56,70.68,12.24,50.94,7.5,7.5,,,
A144,11136504241666641,11/28/20,20002937,N,12,A144,111.14,98.87,16.67,82.2,,0,,,
A145,11357791085935428,11/30/20,20024292,L,1,A145,51.01,48.07,7.65,35.67,4.75,4.75,,,
A146,11455264004235416,11/25/20,20021718,L,2,A146,100.92,92.23,15.14,71.34,5.75,5.75,,,
A147,11131793005707419,11/24/20,20021294,L,1,A147,59.79,49.39,8.97,35.67,4.75,4.75,,,
